Student ID,First Name,Last Name,Email ID,Major
101,John,Doe,johndoe@example.com,Computer Science
102,Jane,Smith,janesmith@example.com,Engineering
103,Michael,Johnson,michael@example.com,Psychology
104,Emily,Williams,emily@example.com,History
105,David,Brown,david@example.com,Biology
106,Sarah,Miller,sarah@example.com,Chemistry
107,William,Jones,william@example.com,Mathematics
108,Olivia,Davis,olivia@example.com,English
109,James,Anderson,james@example.com,Physics
110,Linda,Wilson,linda@example.com,Art
111,Robert,Taylor,robert@example.com,Political Science
112,Emma,Johnson,emma@example.com,Marketing
113,William,Moore,william@example.com,Economics
114,Isabella,Martin,isabella@example.com,Chemical Engineering
115,James,Walker,james@example.com,Environmental Science
116,Sophia,Lee,sophia@example.com,Music
117,Liam,Hall,liam@example.com,Philosophy
118,Ava,Richardson,ava@example.com,Geology
119,Ethan,Carter,ethan@example.com,Communication
120,Charlotte,Adams,charlotte@example.com,Sociology
